0,1
0.000770667,0.992437
0.00307791,0.96978
0.00690752,0.932214
0.0122359,0.880259
0.0190301,0.814862
0.0272484,0.737344
0.03684,0.649282
0.0477458,0.552404
0.0598985,0.44853
0.0732233,0.33952
0.087638,0.227239
0.103054,0.113511
0.119375,7.5e-05
0.136502,-0.111458
0.154329,-0.219638
0.172746,-0.323208
0.191639,-0.421119
0.210891,-0.512544
0.230385,-0.596879
0.25,-0.673738
0.269615,-0.742939
0.289109,-0.804485
0.308361,-0.858545
0.327254,-0.905425
0.345671,-0.945542
0.363498,-0.979397
0.380625,-1.00755
0.396946,-1.0306
0.412362,-1.04916
0.426777,-1.06382
0.440101,-1.07517
0.452254,-1.08376
0.46316,-1.0901
0.472752,-1.09465
0.48097,-1.09781
0.487764,-1.09993
0.493092,-1.10128
0.496922,-1.10208
0.499229,-1.1025
0.5,-1.10263
