0,0.0449839
0.000770667,0.0449322
0.00307791,0.0447741
0.00690752,0.0445144
0.0122359,0.0441451
0.0190301,0.0436665
0.0272484,0.0430901
0.03684,0.0424246
0.0477458,0.0416599
0.0598985,0.040814
0.0732233,0.0398778
0.087638,0.0388208
0.103054,0.0376576
0.119375,0.0364218
0.136502,0.0351169
0.154329,0.0337285
0.172746,0.0322752
0.191639,0.0307479
0.210891,0.0291518
0.230385,0.0275094
0.25,0.0258133
0.269615,0.0240851
0.289109,0.0223321
0.308361,0.0205701
0.327254,0.0188298
0.345671,0.0171122
0.363498,0.0154369
0.380625,0.0138276
0.396946,0.0123097
0.412362,0.0108876
0.426777,0.00955376
0.440101,0.00832885
0.452254,0.0072036
0.46316,0.0061871
0.472752,0.00528872
0.48097,0.00452642
0.487764,0.00390368
0.493092,0.00341723
0.496922,0.00306443
0.499229,0.00285063
0.5,0.00277923
