0,1
0.018496,0.940602
0.07387,0.670924
0.16578,0.310773
0.293661,-0.01883
0.456723,-0.221564
0.653961,-0.264684
0.884159,-0.189724
1.1459,-0.07762
1.43756,0.005183
1.75736,0.03752
2.10331,0.034824
2.47329,0.021245
2.86501,0.01072
3.27606,0.005608
3.7039,0.003542
4.1459,0.002469
4.59933,0.001668
5.06139,0.001063
5.52925,0.000658
6,0.000406
6.47075,0.000253
6.93861,0.000159
7.40067,0.0001
7.8541,6.4e-05
8.2961,4.1e-05
8.72394,2.7e-05
9.13499,1.8e-05
9.52671,1.2e-05
9.89669,8e-06
10.2426,6e-06
10.5624,4e-06
10.8541,3e-06
11.1158,2e-06
11.346,2e-06
11.5433,2e-06
11.7063,1e-06
11.8342,1e-06
11.9261,1e-06
11.9815,1e-06
12,1e-06
