0,-1.9265e-15
0.0123307,-0.417558
0.0492466,-1.127
0.11052,-1.67657
0.195774,-1.8092
0.304482,-1.7478
0.435974,-1.57267
0.589439,-1.39183
0.763932,-1.18337
0.958376,-0.990439
1.17157,-0.795985
1.40221,-0.631732
1.64886,-0.474486
1.91001,-0.353365
2.18404,-0.244281
2.46927,-0.165973
2.76393,-0.101973
3.06622,-0.0555064
3.37426,-0.0250283
3.68616,0.00206976
4,0.0122161
4.31384,0.0285745
4.62574,0.030098
4.93378,0.0421611
5.23607,0.0393302
5.53073,0.0519731
5.81596,0.0456969
6.08999,0.0601309
6.35114,0.0510133
6.59779,0.0665882
6.82843,0.0550137
7.04162,0.0710312
7.23607,0.0573351
7.41056,0.0732724
7.56403,0.0581603
7.69552,0.0736419
7.80423,0.0697315
7.88948,0.0932214
7.95075,0.0820245
7.98767,0.0870949
8,0.103939
