0,0
0.018496,-0.0400765
0.07387,-0.123881
0.16578,-0.253129
0.293661,-0.361151
0.456723,-0.431389
0.653961,-0.450598
0.884159,-0.43812
1.1459,-0.403367
1.43756,-0.36419
1.75736,-0.314996
2.10331,-0.267665
2.47329,-0.21162
2.86501,-0.169769
3.27606,-0.123084
3.7039,-0.0981426
4.1459,-0.0649473
4.59933,-0.0546107
5.06139,-0.0303624
5.52925,-0.0294234
6,-0.0105798
6.47075,-0.0161278
6.93861,-0.00089748
7.40067,-0.0110853
7.8541,0.00281699
8.2961,-0.00896648
8.72394,0.00482734
9.13499,-0.00728707
9.52671,0.00598226
9.89669,-0.0063532
10.2426,0.00642216
10.5624,-0.00535607
10.8541,0.00537219
11.1158,-0.00684659
11.346,0.00139346
11.5433,-0.00822881
11.7063,0.000121254
11.8342,-0.0043559
11.9261,0.0018095
11.9815,0.00124503
12,-0.00054842
